Date,Account Balance,Backtest ID,Risk
2024-10-29,10003.03,Test 28,"TP: 0.00, SL: 0.00"
2024-10-03,9989.54,Test 28,"TP: 0.00, SL: 0.00"
2024-10-10,9998.66,Test 28,"TP: 0.00, SL: 0.00"
2024-11-01,9998.44,Test 28,"TP: 0.00, SL: 0.00"
2024-11-06,10048.03,Test 28,"TP: 0.00, SL: 0.00"
2024-09-30,10004.86,Test 28,"TP: 0.00, SL: 0.00"
2024-10-11,10002.25,Test 28,"TP: 0.00, SL: 0.00"
2024-11-05,9998.50,Test 28,"TP: 0.00, SL: 0.00"
2024-10-09,9998.87,Test 28,"TP: 0.00, SL: 0.00"
2024-10-16,10004.59,Test 28,"TP: 0.00, SL: 0.00"
2024-09-25,10007.05,Test 28,"TP: 0.00, SL: 0.00"
2024-11-08,10057.01,Test 28,"TP: 0.00, SL: 0.00"
2024-10-14,9992.69,Test 29,"TP: 0.00, SL: 0.00"
2024-10-22,9994.12,Test 29,"TP: 0.00, SL: 0.00"
2024-11-04,9967.40,Test 29,"TP: 0.00, SL: 0.00"
2024-09-20,10000.00,Test 29,"TP: 0.00, SL: 0.00"
2024-09-24,10008.22,Test 29,"TP: 0.00, SL: 0.00"
2024-10-25,9982.72,Test 29,"TP: 0.00, SL: 0.00"
2024-11-06,10017.26,Test 29,"TP: 0.00, SL: 0.00"
2024-10-08,9973.45,Test 29,"TP: 0.00, SL: 0.00"
2024-10-09,9978.16,Test 29,"TP: 0.00, SL: 0.00"
2024-10-07,9968.95,Test 29,"TP: 0.00, SL: 0.00"
2024-10-24,9987.22,Test 29,"TP: 0.00, SL: 0.00"
2024-11-05,9972.92,Test 29,"TP: 0.00, SL: 0.00"
2024-11-07,10017.26,Test 29,"TP: 0.00, SL: 0.00"
2024-09-26,10009.03,Test 29,"TP: 0.00, SL: 0.00"
2024-10-01,9989.35,Test 29,"TP: 0.00, SL: 0.00"
2024-11-01,9967.40,Test 29,"TP: 0.00, SL: 0.00"
2024-09-30,9998.38,Test 29,"TP: 0.00, SL: 0.00"
2024-10-02,9982.01,Test 29,"TP: 0.00, SL: 0.00"
2024-10-28,9982.15,Test 29,"TP: 0.00, SL: 0.00"
2024-10-29,9991.00,Test 29,"TP: 0.00, SL: 0.00"
2024-10-15,9987.86,Test 29,"TP: 0.00, SL: 0.00"
2024-10-23,9989.65,Test 29,"TP: 0.00, SL: 0.00"
2024-10-04,9969.59,Test 29,"TP: 0.00, SL: 0.00"
2024-10-10,9977.95,Test 29,"TP: 0.00, SL: 0.00"
2024-10-11,9981.53,Test 29,"TP: 0.00, SL: 0.00"
2024-09-23,10003.03,Test 29,"TP: 0.00, SL: 0.00"
2024-10-03,9978.59,Test 29,"TP: 0.00, SL: 0.00"
2024-10-18,9994.06,Test 29,"TP: 0.00, SL: 0.00"
2024-10-21,9997.45,Test 29,"TP: 0.00, SL: 0.00"
2024-09-25,10009.99,Test 29,"TP: 0.00, SL: 0.00"
2024-10-16,9994.06,Test 29,"TP: 0.00, SL: 0.00"
2024-10-30,9985.63,Test 29,"TP: 0.00, SL: 0.00"
2024-10-31,9967.66,Test 29,"TP: 0.00, SL: 0.00"
2024-11-08,10026.24,Test 29,"TP: 0.00, SL: 0.00"
2024-09-27,10013.50,Test 29,"TP: 0.00, SL: 0.00"
2024-10-17,9994.06,Test 29,"TP: 0.00, SL: 0.00"
2024-10-09,10001.88,Test 33,"TP: 0.00, SL: 0.00"
2024-10-21,10025.82,Test 33,"TP: 0.00, SL: 0.00"
2024-10-08,9997.32,Test 33,"TP: 0.00, SL: 0.00"
2024-10-18,10025.82,Test 33,"TP: 0.00, SL: 0.00"
2024-10-25,10026.66,Test 33,"TP: 0.00, SL: 0.00"
2024-10-30,10006.93,Test 33,"TP: 0.00, SL: 0.00"
2024-10-31,10006.93,Test 33,"TP: 0.00, SL: 0.00"
2024-11-05,10002.55,Test 33,"TP: 0.00, SL: 0.00"
2024-10-01,9997.78,Test 33,"TP: 0.00, SL: 0.00"
2024-10-17,10021.20,Test 33,"TP: 0.00, SL: 0.00"
2024-10-23,10011.06,Test 33,"TP: 0.00, SL: 0.00"
2024-10-29,10016.13,Test 33,"TP: 0.00, SL: 0.00"
2024-09-25,10004.53,Test 33,"TP: 0.00, SL: 0.00"
2024-10-02,9997.78,Test 33,"TP: 0.00, SL: 0.00"
2024-10-28,10024.71,Test 33,"TP: 0.00, SL: 0.00"
2024-10-15,10013.07,Test 33,"TP: 0.00, SL: 0.00"
2024-10-16,10013.07,Test 33,"TP: 0.00, SL: 0.00"
2024-11-06,10014.22,Test 33,"TP: 0.00, SL: 0.00"
2024-09-23,10004.47,Test 33,"TP: 0.00, SL: 0.00"
2024-09-30,10007.66,Test 33,"TP: 0.00, SL: 0.00"
2024-10-07,9992.91,Test 33,"TP: 0.00, SL: 0.00"
2024-10-10,10006.36,Test 33,"TP: 0.00, SL: 0.00"
2024-09-26,10009.18,Test 33,"TP: 0.00, SL: 0.00"
2024-09-27,10016.27,Test 33,"TP: 0.00, SL: 0.00"
2024-11-01,10002.55,Test 33,"TP: 0.00, SL: 0.00"
2024-11-07,10014.22,Test 33,"TP: 0.00, SL: 0.00"
2024-10-24,10009.02,Test 33,"TP: 0.00, SL: 0.00"
2024-11-08,10018.75,Test 33,"TP: 0.00, SL: 0.00"
2024-09-24,10002.76,Test 33,"TP: 0.00, SL: 0.00"
2024-10-03,9998.83,Test 33,"TP: 0.00, SL: 0.00"
2024-10-04,9993.55,Test 33,"TP: 0.00, SL: 0.00"
2024-10-14,10013.07,Test 33,"TP: 0.00, SL: 0.00"
2024-09-20,10000.00,Test 33,"TP: 0.00, SL: 0.00"
2024-10-11,10013.07,Test 33,"TP: 0.00, SL: 0.00"
2024-10-22,10016.67,Test 33,"TP: 0.00, SL: 0.00"
2024-11-04,10002.55,Test 33,"TP: 0.00, SL: 0.00"
2024-09-27,9996.70,Test 25,"TP: 0.00, SL: 0.00"
2024-09-30,10004.86,Test 25,"TP: 0.00, SL: 0.00"
2024-10-03,9989.54,Test 25,"TP: 0.00, SL: 0.00"
2024-10-10,9998.66,Test 25,"TP: 0.00, SL: 0.00"
2024-10-18,10015.90,Test 25,"TP: 0.00, SL: 0.00"
2024-10-28,10025.23,Test 25,"TP: 0.00, SL: 0.00"
